,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,2,156,0.0,2,1,13,8,1.25,1,1,1,0,0,68,0,0
1,1,328,4.46,2,1,11,4,3.04,1,1,6,0,0,11,560,0
2,1,89,0.5,2,1,11,4,1.5,1,0,0,0,0,96,824,0
3,2,125,1.54,2,1,13,8,3.75,1,1,5,1,0,31,3,0
4,2,43,5.625,2,1,13,8,1.71,1,0,0,0,2,37,0,0
5,2,168,4.0,2,1,10,8,2.5,1,0,0,1,0,115,0,0
6,2,179,1.04,2,1,12,4,6.5,1,0,0,1,0,54,31285,0
7,1,74,11.585,2,1,3,8,0.04,1,0,0,0,0,23,1349,0
8,2,310,0.5,3,3,9,4,3.96,1,0,0,0,0,62,314,0
9,2,255,4.915,3,3,13,8,3.165,1,0,0,1,0,15,1442,0
10,2,64,0.83,2,1,2,4,2.165,0,0,0,1,0,39,0,0
11,2,145,1.835,2,1,2,4,4.335,1,0,0,0,0,90,200,0
12,1,220,6.0,2,1,9,8,1.0,1,0,0,1,0,0,0,0
13,2,282,6.04,2,1,9,8,0.04,0,0,0,0,0,0,2690,0
14,1,270,10.5,2,1,11,8,5.0,1,1,7,1,0,0,0,0
15,2,211,4.415,3,3,9,8,0.25,1,1,10,1,0,105,0,0
16,2,129,0.875,2,1,10,8,0.96,1,1,3,1,0,127,0,0
17,1,78,5.875,2,1,11,8,3.17,1,1,10,0,0,37,245,0
18,2,61,0.25,2,1,4,4,0.665,1,0,0,1,0,0,0,0
19,1,34,8.585,2,1,3,4,0.75,1,1,7,0,0,29,0,0
20,2,94,11.25,2,1,2,8,2.5,1,1,17,0,0,67,1208,0
21,2,78,1.0,2,1,2,8,0.835,1,0,0,0,2,100,0,0
22,1,280,8.0,2,1,2,8,7.875,1,1,6,1,0,0,1260,0
23,1,121,14.5,2,1,14,4,3.085,1,1,1,0,0,37,11,0
24,1,244,6.5,2,1,11,8,0.5,1,1,3,1,0,47,0,0
25,1,3,0.585,2,1,2,4,1.5,1,1,2,0,0,31,0,0
26,1,274,13.0,2,1,7,1,5.165,1,1,9,1,0,0,0,0
27,2,318,18.5,2,1,4,1,15.0,1,1,17,1,0,0,0,0
28,2,322,8.5,2,1,5,4,7.0,1,1,3,0,0,0,0,0
29,2,252,1.04,2,1,13,8,5.0,1,1,6,1,0,150,10000,0
30,2,138,14.79,2,1,1,8,5.04,1,1,5,1,0,56,0,0
31,2,251,9.79,2,1,14,4,7.96,1,1,8,0,0,0,0,0
32,2,291,7.585,2,1,7,1,7.585,1,1,15,1,0,0,5000,0
33,1,212,5.125,2,1,5,8,5.0,1,0,0,1,0,0,4000,0
34,1,70,10.75,2,1,11,8,0.415,1,1,5,1,0,0,560,0
35,2,125,1.5,2,1,13,8,2.0,1,1,11,1,0,138,35,0
36,2,119,1.585,2,1,3,4,1.835,1,1,12,1,0,158,713,0
37,1,75,11.75,2,1,14,4,0.5,1,1,2,1,0,100,551,0
38,2,124,0.585,3,3,3,8,0.25,1,1,2,0,0,90,500,0
39,2,311,9.415,2,1,6,3,14.415,1,1,11,1,0,8,300,0
