,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,19,2,8,3,5,1,8,13,0,6,6,10,8,0,8,0,8
1,8,5,12,3,7,2,10,5,5,4,13,3,9,2,8,4,10
2,3,4,11,6,8,6,10,6,2,6,10,3,7,3,7,3,9
3,13,7,11,6,6,3,5,9,4,6,4,4,10,6,10,2,8
4,6,2,1,3,1,1,8,6,6,6,6,5,9,1,7,5,10
5,18,4,11,5,8,3,8,8,6,9,5,6,6,0,8,9,7
6,1,4,2,5,4,4,8,7,6,6,7,6,6,2,8,7,10
7,0,1,1,3,2,1,8,2,2,2,8,2,8,1,6,2,7
8,9,2,2,4,4,2,10,6,2,6,12,4,8,1,6,1,7
9,12,11,15,13,9,7,13,2,6,2,12,1,9,8,1,1,8
10,23,3,9,5,7,4,8,7,3,8,5,6,8,2,8,6,7
11,14,6,13,4,7,4,6,7,6,3,10,7,9,5,9,5,8
12,6,4,9,6,7,6,7,8,6,2,6,5,11,4,8,7,8
13,12,6,9,8,6,9,7,8,6,5,7,5,8,8,9,8,6
14,17,5,9,5,7,6,6,11,7,3,7,3,9,2,7,5,11
15,5,6,9,5,4,3,10,6,3,5,10,5,7,3,9,6,9
16,14,3,4,4,3,2,8,7,7,5,7,6,8,2,8,3,8
17,2,7,10,5,5,2,6,8,6,8,11,7,11,2,8,5,9
18,19,6,11,6,8,5,6,11,5,6,11,9,4,3,12,2,4
19,9,2,2,3,3,1,10,6,3,6,12,4,9,0,7,1,7
20,9,1,3,2,2,1,8,8,2,5,14,5,8,0,7,0,7
21,7,4,5,5,4,4,7,7,6,6,7,6,8,3,8,3,8
22,18,3,2,3,3,2,8,8,7,5,7,5,7,2,8,9,8
23,14,6,11,7,8,5,7,6,9,6,7,5,9,4,8,5,5
24,9,3,6,4,4,2,6,6,4,4,14,8,12,1,6,1,6
25,2,6,11,7,8,3,7,8,7,11,4,7,14,1,7,4,8
26,12,7,11,11,8,9,3,8,4,5,10,11,10,10,9,5,7
27,22,12,14,12,8,5,9,10,4,3,5,10,7,10,12,2,6
28,7,6,9,8,7,6,8,6,6,7,7,7,9,6,8,4,8
29,6,3,6,4,4,2,6,6,5,5,6,6,9,2,8,4,8
30,11,2,3,3,4,1,0,1,5,6,0,0,6,0,8,0,8
31,11,1,3,3,1,1,6,4,1,7,8,3,10,0,7,2,9
32,23,8,12,8,6,4,3,10,4,7,12,11,9,3,7,3,4
33,1,5,9,7,7,10,9,8,4,4,6,8,6,6,11,8,7
34,12,6,9,9,7,6,5,6,3,5,10,9,9,8,5,2,7
35,6,4,7,6,5,3,6,6,6,8,6,5,9,3,10,4,8
36,14,4,7,5,5,3,7,7,8,6,7,6,8,3,8,3,8
37,15,3,6,4,4,2,4,14,8,1,11,6,3,0,10,4,8
38,6,4,9,5,6,6,8,5,4,3,7,5,11,6,8,5,11
39,4,3,4,3,6,2,3,8,6,10,7,6,15,0,8,7,8
40,23,5,11,8,8,4,8,8,1,8,10,5,7,3,8,4,8
41,4,3,7,4,5,4,7,7,5,8,8,8,9,3,9,6,9
42,23,4,6,7,4,3,9,7,2,8,11,3,7,3,8,4,9
43,6,4,5,5,8,3,7,6,8,8,6,6,10,1,8,6,11
44,21,7,9,6,5,2,8,10,4,5,8,10,5,4,12,3,8
45,23,4,10,5,7,5,8,7,3,8,5,6,6,3,8,6,8
46,22,5,9,6,7,8,7,9,5,3,7,9,8,6,8,3,8
47,6,1,3,2,1,1,7,7,5,6,7,5,10,1,9,3,9
48,17,8,10,8,6,6,7,7,3,5,8,4,8,6,6,7,7
49,18,3,9,4,7,2,7,5,6,10,5,6,10,0,9,9,8
50,24,7,11,9,8,8,9,5,6,4,7,8,8,3,9,8,3
51,11,3,6,3,4,1,1,0,6,6,0,1,5,0,8,0,8
52,24,2,4,4,3,2,6,10,1,7,8,11,8,1,11,2,7
53,9,4,5,6,6,5,8,10,4,4,7,7,9,3,7,7,5
54,18,4,9,5,6,4,7,8,7,7,8,4,7,2,7,9,8
55,16,6,9,7,11,7,8,5,7,5,9,6,9,3,8,6,8
56,16,3,5,5,4,4,9,3,4,3,8,4,9,3,6,4,8
57,3,2,6,3,4,2,6,7,10,8,6,6,6,3,8,3,8
58,2,6,10,4,5,2,6,9,6,6,11,7,7,2,9,5,9
59,11,5,10,6,8,5,9,3,2,6,9,2,9,2,5,3,9
60,13,3,3,3,5,2,7,7,13,2,5,6,8,5,8,0,8
61,2,2,3,3,1,1,5,9,4,6,11,9,11,1,9,2,8
62,4,6,9,4,4,2,7,7,4,7,10,6,10,1,9,7,9
63,23,4,9,5,6,5,7,6,3,5,6,6,9,2,8,8,8
64,7,3,3,4,1,2,8,7,5,6,7,6,8,5,8,3,7
65,11,2,3,2,4,1,0,1,5,6,0,0,6,0,8,0,8
66,7,3,5,5,4,3,7,8,3,6,10,6,8,3,8,3,8
67,4,2,3,3,2,2,7,7,5,7,7,6,8,2,8,5,10
68,24,5,10,6,7,6,9,6,6,4,7,8,7,6,9,8,3
69,7,8,12,8,6,4,9,8,4,5,8,4,5,6,9,5,9
70,16,5,10,5,5,4,9,6,5,6,10,6,7,4,8,9,9
71,16,3,8,5,7,3,8,7,9,6,6,6,9,3,8,5,9
72,16,4,6,6,4,5,8,5,6,4,6,7,10,4,7,5,9
73,9,2,8,3,6,1,13,3,8,4,13,3,11,1,6,0,8
74,9,4,7,5,5,2,8,9,1,7,14,5,6,0,8,1,8
75,3,4,5,5,4,3,7,7,7,7,7,6,5,2,8,3,7
76,17,2,6,4,4,3,6,7,5,5,6,5,7,3,7,5,8
77,12,4,5,7,4,4,6,6,3,4,9,9,10,7,5,2,8
78,0,3,7,5,5,3,12,2,3,2,10,2,9,2,6,3,8
79,13,3,5,4,4,2,7,8,5,4,7,7,7,6,9,2,5
80,12,6,10,9,7,8,3,7,4,5,10,11,10,7,9,3,7
81,15,8,14,7,8,4,5,10,6,3,12,5,4,4,10,4,8
82,2,6,12,5,7,4,8,5,4,3,9,9,11,4,9,8,10
83,15,6,10,8,8,7,8,5,7,5,7,6,6,3,9,8,9
84,13,2,3,3,1,1,5,9,3,3,10,8,8,4,8,0,8
85,22,3,4,4,3,2,9,10,3,2,5,9,7,6,11,0,8
86,21,3,8,5,6,6,8,7,4,1,8,7,8,5,10,4,7
87,21,6,9,9,8,10,8,7,5,5,7,6,8,8,9,9,3
88,12,6,7,9,5,7,4,7,3,5,10,10,11,8,6,3,7
89,4,4,8,5,6,4,7,7,4,8,11,8,9,2,9,5,7
90,13,6,11,8,8,9,5,8,3,4,8,8,9,7,9,5,4
91,24,8,10,8,7,4,3,10,3,7,11,12,6,1,11,3,5
92,22,4,8,5,6,3,6,8,4,1,7,8,8,8,9,0,8
93,14,6,7,8,6,6,6,6,5,6,8,5,8,3,6,5,6
94,13,4,4,4,6,2,7,7,14,2,5,6,8,6,8,0,8
95,7,4,8,5,6,5,7,10,8,5,8,5,6,3,6,7,11
96,14,4,7,5,5,3,8,7,8,5,10,6,8,3,8,3,8
97,13,4,8,5,6,4,7,7,9,4,6,4,6,3,7,3,8
98,7,4,9,5,6,2,7,6,15,1,7,7,8,3,8,0,8
99,20,7,11,8,9,4,3,9,6,7,11,11,10,3,9,2,6
100,24,2,7,3,5,1,6,10,0,3,7,11,8,1,11,0,8
101,18,6,8,7,6,4,6,9,4,8,11,7,6,2,8,5,5
102,18,5,9,6,7,5,7,7,7,5,7,6,7,2,8,9,8
103,19,2,3,2,2,1,7,11,2,6,7,10,8,1,11,1,7
104,2,2,3,3,2,1,4,7,4,6,10,9,13,1,9,2,7
105,21,4,10,7,7,2,9,8,5,3,5,14,8,3,9,0,8
106,19,5,8,5,6,3,6,12,4,7,12,9,4,2,12,2,4
107,10,7,12,6,6,3,7,8,2,7,9,7,8,5,8,3,7
108,3,3,8,4,6,4,7,8,7,6,7,7,5,3,8,3,7
109,22,2,1,3,1,1,7,8,4,0,7,8,8,6,10,0,8
110,8,2,9,3,7,2,8,7,0,7,13,6,9,0,8,1,8
111,4,3,8,3,6,2,3,7,6,10,7,6,14,0,8,7,8
112,5,6,9,8,7,4,6,12,6,6,13,7,3,2,9,2,5
113,8,3,9,4,7,3,7,7,0,7,13,6,8,0,8,1,8
114,7,5,10,7,8,8,7,7,6,6,7,6,9,3,8,4,8
115,20,4,7,4,5,2,7,5,13,5,7,14,7,3,9,0,8
116,2,2,3,3,2,1,6,8,7,7,9,7,12,1,10,3,9
117,5,5,9,6,7,7,7,6,6,4,7,7,8,5,10,9,12
118,0,3,8,5,6,3,9,2,2,3,8,2,8,2,6,3,7
119,25,3,7,5,5,3,7,8,2,9,11,7,7,1,8,6,7
120,23,3,7,5,5,2,10,5,2,8,10,1,7,3,7,3,10
121,13,3,3,5,2,2,5,10,3,4,10,8,7,5,8,1,8
122,17,6,9,5,4,3,10,6,5,5,10,2,8,6,6,4,9
123,1,3,3,3,4,3,7,7,5,5,7,6,6,5,8,5,10
124,1,5,9,7,7,7,8,8,3,6,10,5,6,3,7,6,8
125,20,5,6,5,4,2,5,8,6,8,9,8,8,3,9,2,5
126,9,4,4,6,5,4,8,9,4,5,7,6,9,3,7,8,8
127,5,3,7,4,5,2,1,11,4,4,11,11,8,0,8,2,7
128,12,6,8,9,6,6,11,6,2,5,9,3,6,9,7,2,9
129,7,1,1,2,1,1,7,7,12,1,7,6,8,3,8,0,8
130,0,2,1,4,2,1,8,1,2,2,7,2,8,2,5,2,7
131,14,5,10,4,5,3,6,6,6,2,9,6,9,5,9,4,8
132,4,1,0,1,1,1,4,7,5,8,7,6,13,0,8,6,10
133,20,3,3,3,1,1,5,8,5,7,10,9,8,3,10,2,6
134,0,3,7,5,5,3,10,4,1,2,8,3,9,2,4,2,7
135,23,4,8,5,6,3,5,8,1,8,10,9,9,2,9,3,6
136,18,5,8,7,6,4,8,8,4,9,11,3,8,2,6,4,9
137,9,1,3,2,2,1,10,7,1,5,11,4,8,0,7,0,7
138,10,5,11,8,8,5,6,7,2,7,10,7,10,4,8,4,8
139,8,2,6,2,4,1,9,5,0,6,13,5,9,0,8,1,8
140,15,7,11,10,8,6,6,11,3,6,13,6,3,0,10,3,8
141,19,2,1,2,1,0,8,15,1,4,6,10,8,0,8,0,8
142,2,1,1,2,2,1,6,8,6,6,9,7,12,1,9,3,10
143,7,4,9,4,7,4,7,8,13,1,7,5,8,3,8,0,8
144,0,2,4,4,3,2,10,2,2,2,9,2,9,2,7,3,9
145,11,6,11,9,8,11,7,7,3,6,6,7,11,6,11,9,7
146,19,3,6,4,4,3,7,12,4,6,7,11,8,2,12,1,7
147,0,2,8,4,6,2,12,2,4,3,11,2,10,3,6,3,9
148,21,3,9,5,7,3,8,9,4,1,6,12,8,2,10,0,8
149,20,5,7,6,5,5,8,8,8,5,6,7,9,4,8,4,5
