,0,1,2,3,4,5,6
0,-2.3,0.568,4.78,3.99,3.17,0.125,0.11
1,-2.3,0.568,4.78,3.99,3.17,0.15,0.27
2,-2.3,0.568,4.78,3.99,3.17,0.175,0.47
3,-2.3,0.568,4.78,3.99,3.17,0.2,0.78
4,-2.3,0.568,4.78,3.99,3.17,0.225,1.18
5,-2.3,0.568,4.78,3.99,3.17,0.25,1.82
6,-2.3,0.568,4.78,3.99,3.17,0.275,2.61
7,-2.3,0.568,4.78,3.99,3.17,0.3,3.76
8,-2.3,0.568,4.78,3.99,3.17,0.325,4.99
9,-2.3,0.568,4.78,3.99,3.17,0.35,7.16
10,-2.3,0.568,4.78,3.99,3.17,0.375,11.93
11,-2.3,0.568,4.78,3.99,3.17,0.4,20.11
12,-2.3,0.568,4.78,3.99,3.17,0.425,32.75
13,-2.3,0.568,4.78,3.99,3.17,0.45,49.49
14,-2.3,0.569,4.78,3.04,3.64,0.125,0.04
15,-2.3,0.569,4.78,3.04,3.64,0.15,0.17
16,-2.3,0.569,4.78,3.04,3.64,0.175,0.37
17,-2.3,0.569,4.78,3.04,3.64,0.2,0.66
18,-2.3,0.569,4.78,3.04,3.64,0.225,1.06
19,-2.3,0.569,4.78,3.04,3.64,0.25,1.59
20,-2.3,0.569,4.78,3.04,3.64,0.275,2.33
21,-2.3,0.569,4.78,3.04,3.64,0.3,3.29
22,-2.3,0.569,4.78,3.04,3.64,0.325,4.61
23,-2.3,0.569,4.78,3.04,3.64,0.35,7.11
24,-2.3,0.569,4.78,3.04,3.64,0.375,11.99
25,-2.3,0.569,4.78,3.04,3.64,0.4,21.09
26,-2.3,0.569,4.78,3.04,3.64,0.425,35.01
27,-2.3,0.569,4.78,3.04,3.64,0.45,51.8
28,-2.3,0.565,4.78,5.35,2.76,0.125,0.09
29,-2.3,0.565,4.78,5.35,2.76,0.15,0.29
30,-2.3,0.565,4.78,5.35,2.76,0.175,0.56
31,-2.3,0.565,4.78,5.35,2.76,0.2,0.86
32,-2.3,0.565,4.78,5.35,2.76,0.225,1.31
33,-2.3,0.565,4.78,5.35,2.76,0.25,1.99
34,-2.3,0.565,4.78,5.35,2.76,0.275,2.94
35,-2.3,0.565,4.78,5.35,2.76,0.3,4.21
36,-2.3,0.565,4.78,5.35,2.76,0.325,5.54
37,-2.3,0.565,4.78,5.35,2.76,0.35,8.25
38,-2.3,0.565,4.78,5.35,2.76,0.375,13.08
39,-2.3,0.565,4.78,5.35,2.76,0.4,21.4
40,-2.3,0.565,4.78,5.35,2.76,0.425,33.14
41,-2.3,0.565,4.78,5.35,2.76,0.45,50.14
42,-2.3,0.564,5.1,3.95,3.53,0.125,0.2
43,-2.3,0.564,5.1,3.95,3.53,0.15,0.35
44,-2.3,0.564,5.1,3.95,3.53,0.175,0.65
45,-2.3,0.564,5.1,3.95,3.53,0.2,0.93
46,-2.3,0.564,5.1,3.95,3.53,0.225,1.37
47,-2.3,0.564,5.1,3.95,3.53,0.25,1.97
48,-2.3,0.564,5.1,3.95,3.53,0.275,2.83
49,-2.3,0.564,5.1,3.95,3.53,0.3,3.99
50,-2.3,0.564,5.1,3.95,3.53,0.325,5.19
51,-2.3,0.564,5.1,3.95,3.53,0.35,8.03
52,-2.3,0.564,5.1,3.95,3.53,0.375,12.86
53,-2.3,0.564,5.1,3.95,3.53,0.4,21.51
54,-2.3,0.564,5.1,3.95,3.53,0.425,33.97
55,-2.3,0.564,5.1,3.95,3.53,0.45,50.36
56,-2.4,0.574,4.36,3.96,2.76,0.125,0.2
