,0,1,2,3,4,5,6,7,8
0,0.58,0.61,0.47,0.13,0.5,0.0,0.48,0.22,0
1,0.43,0.67,0.48,0.27,0.5,0.0,0.53,0.22,0
2,0.64,0.62,0.49,0.15,0.5,0.0,0.53,0.22,0
3,0.58,0.44,0.57,0.13,0.5,0.0,0.54,0.22,1
4,0.42,0.44,0.48,0.54,0.5,0.0,0.48,0.22,0
5,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,2
6,0.5,0.54,0.48,0.65,0.5,0.0,0.53,0.22,0
7,0.48,0.45,0.59,0.2,0.5,0.0,0.58,0.34,1
8,0.55,0.5,0.66,0.36,0.5,0.0,0.49,0.22,0
9,0.4,0.39,0.6,0.15,0.5,0.0,0.58,0.3,2
10,0.43,0.39,0.54,0.21,0.5,0.0,0.53,0.27,1
11,0.42,0.37,0.59,0.2,0.5,0.0,0.52,0.29,1
12,0.4,0.42,0.57,0.35,0.5,0.0,0.53,0.25,2
13,0.6,0.4,0.52,0.46,0.5,0.0,0.53,0.22,0
14,0.66,0.55,0.45,0.19,0.5,0.0,0.46,0.22,0
15,0.46,0.44,0.52,0.11,0.5,0.0,0.5,0.22,2
16,0.47,0.39,0.5,0.11,0.5,0.0,0.49,0.4,2
17,0.58,0.47,0.54,0.11,0.5,0.0,0.51,0.26,1
18,0.5,0.34,0.55,0.21,0.5,0.0,0.49,0.22,1
19,0.61,0.6,0.55,0.21,0.5,0.0,0.5,0.25,1
20,0.45,0.4,0.5,0.16,0.5,0.0,0.5,0.22,2
21,0.43,0.44,0.48,0.22,0.5,0.0,0.51,0.22,2
22,0.73,0.63,0.42,0.3,0.5,0.0,0.49,0.22,2
23,0.43,0.53,0.52,0.13,0.5,0.0,0.55,0.22,2
24,0.46,0.53,0.52,0.15,0.5,0.0,0.58,0.22,2
25,0.51,0.51,0.52,0.51,0.5,0.0,0.54,0.22,0
26,0.59,0.45,0.53,0.19,0.5,0.0,0.59,0.27,2
27,0.57,0.47,0.6,0.18,0.5,0.0,0.51,0.22,2
28,0.63,0.67,0.57,0.24,0.5,0.0,0.49,0.22,0
29,0.8,0.88,0.36,0.39,0.5,0.0,0.56,0.33,3
30,0.53,0.54,0.43,0.1,0.5,0.0,0.57,0.32,1
31,0.51,0.51,0.43,0.87,0.5,0.0,0.52,0.22,0
32,0.38,0.61,0.61,0.12,0.5,0.0,0.53,0.47,2
33,0.33,0.55,0.51,0.43,0.5,0.0,0.51,0.22,1
34,0.78,0.74,0.42,0.26,0.5,0.0,0.43,0.22,3
35,0.74,0.67,0.47,0.34,0.5,0.0,0.42,0.22,4
36,0.72,0.61,0.45,0.3,0.5,0.0,0.54,0.25,0
37,0.4,0.45,0.57,0.18,0.5,0.0,0.56,0.26,2
38,0.59,0.53,0.43,0.44,0.5,0.0,0.5,0.22,0
39,0.57,0.53,0.53,0.34,0.5,0.0,0.53,0.22,0
40,0.86,0.68,0.39,0.24,0.5,0.0,0.54,0.22,5
41,0.86,0.74,0.51,0.4,0.5,0.0,0.55,0.22,5
42,0.79,0.57,0.41,0.28,0.5,0.0,0.59,0.22,5
43,0.41,0.54,0.39,0.2,0.5,0.0,0.51,0.22,6
44,0.37,0.36,0.56,0.18,0.5,0.0,0.48,0.26,7
45,0.53,0.31,0.58,0.39,0.5,0.0,0.47,0.37,1
46,0.74,0.75,0.58,0.47,0.5,0.0,0.4,0.35,5
47,0.49,0.39,0.52,0.29,0.5,0.0,0.48,0.22,4
48,0.74,0.57,0.51,0.28,0.5,0.0,0.58,0.22,7
49,0.42,0.24,0.34,0.16,0.5,0.0,0.5,0.22,6
50,0.48,0.39,0.51,0.21,0.5,0.0,0.52,0.28,2
51,0.41,0.53,0.45,0.14,0.5,0.0,0.52,0.66,6
52,0.45,0.46,0.55,0.43,0.5,0.0,0.55,0.38,1
53,0.56,0.48,0.58,0.27,0.5,0.0,0.51,0.22,2
54,0.64,0.59,0.56,0.23,0.5,0.0,0.46,0.22,2
55,0.64,0.56,0.56,0.22,0.5,0.0,0.45,0.22,2
56,0.66,0.62,0.49,0.1,0.5,0.0,0.49,0.22,2
57,0.53,0.44,0.51,0.33,0.5,0.0,0.55,0.22,2
58,0.38,0.49,0.53,0.19,0.5,0.0,0.5,0.22,2
59,0.45,0.58,0.48,0.67,0.5,0.0,0.52,0.22,0
60,0.43,0.35,0.52,0.52,0.5,0.0,0.54,0.22,0
61,0.37,0.32,0.47,0.18,0.5,0.0,0.45,0.25,1
62,0.48,0.43,0.51,0.32,0.5,0.0,0.52,0.43,1
63,0.41,0.46,0.59,0.19,0.5,0.0,0.58,0.27,1
64,0.54,0.48,0.44,0.08,0.5,0.0,0.52,0.27,2
65,0.6,0.47,0.45,0.22,0.5,0.0,0.51,0.29,2
66,0.34,0.46,0.57,0.09,0.5,0.0,0.55,0.22,2
67,0.48,0.54,0.55,0.12,0.5,0.0,0.51,0.22,2
68,0.47,0.39,0.59,0.15,0.5,0.0,0.57,0.22,2
69,0.81,0.85,0.47,0.37,0.5,0.0,0.56,0.22,4
70,0.48,0.42,0.52,0.24,0.5,0.0,0.56,0.22,2
71,0.58,0.51,0.49,0.27,0.5,0.0,0.57,0.29,2
72,0.6,0.5,0.44,0.61,0.5,0.0,0.47,0.22,0
73,0.45,0.55,0.54,0.66,0.5,0.0,0.47,0.22,0
74,0.46,0.49,0.58,0.23,0.5,0.0,0.44,0.22,0
75,0.49,0.42,0.56,0.55,0.5,0.0,0.42,0.25,0
76,0.63,0.53,0.54,0.4,0.5,0.0,0.5,0.22,0
77,0.5,0.54,0.53,0.54,0.5,0.0,0.51,0.27,0
78,0.63,0.57,0.59,0.4,0.5,0.0,0.38,0.22,0
79,0.43,0.57,0.51,0.49,0.5,0.0,0.48,0.22,0
80,0.48,0.45,0.55,0.5,0.5,0.0,0.53,0.22,0
81,0.5,0.58,0.46,0.46,0.5,0.0,0.46,0.22,0
82,0.51,0.54,0.6,0.57,0.5,0.0,0.58,0.22,0
83,0.54,0.52,0.63,0.37,0.5,0.0,0.46,0.22,0
84,0.67,0.62,0.4,0.43,0.5,0.83,0.5,0.22,0
85,0.28,0.58,0.21,0.13,0.5,0.0,0.51,0.22,6
86,0.39,0.44,0.35,0.16,0.5,0.0,0.55,0.22,6
87,0.8,0.63,0.45,0.29,0.5,0.0,0.51,0.22,4
88,0.5,0.52,0.59,0.3,0.5,0.0,0.51,0.35,1
